1	2049
2	2048
3	2048
4	2049
5	2049
6	2048
7	2048
8	2049
9	2049
10	2048
11	2048
12	2049
13	2049
14	2048
15	2048
16	2049
17	2049
18	2048
19	2049
20	2049
21	2048
22	2048
23	2049
24	2049
25	2048
26	2048
27	2049
28	2049
29	2048
30	2048
31	2049
32	2049
33	2048
34	2048
35	2049
36	2048
37	2048
38	2049
39	2049
40	2048
41	2048
42	2049
43	2049
44	2048
45	2048
46	2049
47	2049
48	2048
49	2048
50	2049
51	2049
52	2048
53	2049
54	2049
55	2048
56	2048
57	2049
58	2049
59	2048
60	2048
61	2049
62	2049
63	2048
64	2048
65	2049
66	2049
67	2048
68	2048
69	2049
70	2049
71	2048
72	2049
73	2049
74	2048
75	2048
76	2049
77	2049
78	2048
79	2048
80	2049
81	2049
82	2048
83	2048
84	2049
85	2049
86	2048
87	2048
88	2049
89	2048
90	2048
91	2049
92	2049
93	2048
94	2048
95	2049
96	2049
97	2048
98	2048
99	2049
100	2049
101	2048
102	2048
103	2049
104	2049
105	2048
106	2049
107	2049
108	2048
109	2048
110	2049
111	2049
112	2048
113	2048
114	2049
115	2049
116	2048
117	2048
118	2049
119	2049
120	2048
121	2048
122	2049
123	2048
124	2048
125	2049
126	2049
127	2048
128	2048
129	2049
130	2049
131	2048
132	2048
133	2049
134	2049
135	2048
136	2048
137	2049
138	2049
139	2048
140	2049
141	2049
142	2048
143	2048
144	2049
145	2049
146	2048
147	2048
148	2049
149	2049
150	2048
151	2048
152	2049
153	2049
154	2048
155	2048
156	2049
157	2048
158	2048
159	2049
160	2049
161	2048
162	2048
163	2049
164	2049
165	2048
166	2048
167	2049
168	2049
169	2048
170	2048
171	2049
172	2049
173	2048
174	2048
175	2049
176	2048
177	2048
178	2049
179	2049
180	2048
181	2048
182	2049
183	2049
184	2048
185	2048
186	2049
187	2049
188	2048
189	2048
190	2049
191	2049
192	2048
193	2049
194	2049
195	2048
196	2048
197	2049
198	2049
199	2048
200	2048
201	2049
202	2049
203	2048
204	2048
205	2049
206	2049
207	2048
208	2048
209	2049
210	2048
211	2048
212	2049
213	2049
214	2048
215	2048
216	2049
217	2049
218	2048
